No.;Time;Source;Destination;Protocol;Length;Info;time 2;Time;delay;delay2;delay 1;jitter
1;0;117.18.237.29;192.168.43.13;TCP;54;80  >  49866 [ACK] Seq=1 Ack=1 Win=288 Len=0;0,000036;0;0,000036;18,872288;-18,872252;37,74454
2;0,000036;192.168.43.13;117.18.237.29;TCP;54;[TCP ACKed unseen segment] 49866  >  80 [ACK] Seq=1 Ack=2 Win=257 Len=0;18,872324;0,000036;18,872288;0,057646;18,814642;-18,756996
8;18,872324;192.168.43.13;13.74.179.117;TCP;66;49878  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1;18,92997;18,872324;0,057646;0,000103;0,057543;-0,05744
10;18,92997;13.74.179.117;192.168.43.13;TCP;66;443  >  49878 [SYN, ACK] Seq=0 Ack=1 Win=13600 Len=0 MSS=1360 WS=1 SACK_PERM=1;18,930073;18,92997;0,000103;0,000664;-0,000561;0,001225
11;18,930073;192.168.43.13;13.74.179.117;TCP;54;49878  >  443 [ACK] Seq=1 Ack=1 Win=66560 Len=0;18,930737;18,930073;0,000664;0,003366;-0,002702;0,006068
12;18,930737;192.168.43.13;13.74.179.117;TLSv1.2;265;Client Hello;18,934103;18,930737;0,003366;0,036397;-0,033031;0,069428
14;18,934103;192.168.43.13;40.90.23.208;TCP;66;49879  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1;18,9705;18,934103;0,036397;0,013167;0,02323;-0,010063
15;18,9705;13.74.179.117;192.168.43.13;TCP;54;443  >  49878 [ACK] Seq=1 Ack=212 Win=13811 Len=0;18,983667;18,9705;0,013167;0,00011;0,013057;-0,012947
16;18,983667;40.90.23.208;192.168.43.13;TCP;62;443  >  49879 [SYN, ACK] Seq=0 Ack=1 Win=4380 Len=0 MSS=1360 SACK_PERM=1;18,983777;18,983667;0,00011;0,000525;-0,000415;0,00094
17;18,983777;192.168.43.13;40.90.23.208;TCP;54;49879  >  443 [ACK] Seq=1 Ack=1 Win=64240 Len=0;18,984302;18,983777;0,000525;0,08342;-0,082895;0,166315
18;18,984302;192.168.43.13;40.90.23.208;TLSv1.2;253;Client Hello;19,067722;18,984302;0,08342;0,28657;-0,20315;0,48972
19;19,067722;40.90.23.208;192.168.43.13;TCP;54;443  >  49879 [ACK] Seq=1 Ack=200 Win=4039 Len=0;19,354292;19,067722;0,28657;0;0,28657;-0,28657
20;19,354292;13.74.179.117;192.168.43.13;TCP;1414;443  >  49878 [ACK] Seq=1 Ack=212 Win=13811 Len=1360 [TCP segment of a reassembled PDU];19,354292;19,354292;0;7,3E-05;-7,3E-05;0,000146
21;19,354292;13.74.179.117;192.168.43.13;TLSv1.2;1061;Server Hello, Certificate, Server Key Exchange, Server Hello Done;19,354365;19,354292;7,3E-05;0,005279;-0,005206;0,010485
22;19,354365;192.168.43.13;13.74.179.117;TCP;54;49878  >  443 [ACK] Seq=212 Ack=2368 Win=66560 Len=0;19,359644;19,354365;0,005279;0,056075;-0,050796;0,106871
23;19,359644;192.168.43.13;13.74.179.117;TLSv1.2;212;Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message;19,415719;19,359644;0,056075;0,144651;-0,088576;0,233227
